"SBiX#","Structure","NCATS ID","Scaffold","Ki_S100B","Column1","Ki_SE_S100B","Ki_S100A1","Column2","Ki_SE_S100A1","Specificity (Ki_S100B/Ki_S100A1)","SAR Class A","Xray - Crystal","Xray - Picture of Crystals","Xray - Data Collected","Xray - Structure completed","Xray - Resolution","Xray - R-factor (%)","Xray - R-Free (%)","Xray - PDB FILE","NMR - HSQC completed (YES or NO)","NMR - Quality of HSQC spectra with compound (Low, Medium, High)","logP(o/w)","Weight","N_heavy","4DBA","Comments"
5313,,"NCGC00378400-01","1/2 Site binder",0.827,"±",,2.318,"±",,2.8,"A","YES (MC)","?","NO","NO",,,,"No",,,6.3,541.5,37.0,-3.5,
5315,,"NCGC00386448-01","1/2 Site binder",4.061,"±",,21.442,"±",,5.3,"A","NO","NO","NO","NO",,,,"No",,,5.8,527.5,36.0,-3.4,
5316,,"NCGC00386447-01","1/2 Site binder",5.725,"±",,46.055,"±",,8.0,"A","NO","NO","NO","NO",,,,"No",,,5.9,527.5,36.0,-3.4,
5317,,"NCGC00379338-01","1/2 Site binder",2.053,"±",,5.492,"±",,2.7,"A","NO","NO","NO","NO",,,,"No",,,6.0,572.0,36.0,-4.0,
5319,,"NCGC00386807","1/2 Site binder",3.296,"±",1.025,8.494,"±",3.3,2.6,"A","NO","NO","NO","NO",,,,"No",,,5.8,527.5,36.0,-3.4,
5320,,"NCGC00386780-01","1/2 Site binder",2.904,"±",,8.333,"±",,2.9,"A","NO","NO","NO","NO",,,,"No",,,6.1,541.5,37.0,-3.6,
5322,,"NCGC00379367-01","1/2 Site binder",4.103,"±",,14.181,"±",,3.5,"A","NO","NO","NO","NO",,,,"No",,,6.1,561.1,39.0,-3.8,
5323,,"NCGC00378363-02","1/2 Site binder",10.393,"±",,76.073,"±",,7.3,"A","NO","NO","NO","NO",,,,"No",,,5.0,562.1,40.0,-3.7,
5324,,"NCGC00381933-01","1/2 Site binder",1.349,"±",,3.782,"±",,2.8,"A","NO","NO","NO","NO",,,,"No",,,6.6,555.6,38.0,-3.7,
5325,,"NCGC00387291-01","1/2 Site binder",4.077,"±",,11.858,"±",,2.9,"A","NO","NO","NO","NO",,,,"No",,,5.8,557.5,38.0,-3.8,
5326,,"NCGC00387881-01","1/2 Site binder",7.426,"±",,21.621,"±",,2.9,"A","NO","NO","NO","NO",,,,"No",,,5.8,527.5,36.0,-3.4,
